id,brid,brdate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,montant,totaltva,lot
1201,3,2024-01-06,190,3610340020346,ELSÉVE A/SHP H.EXT CHEVEUX NORMAUX 200ML,2.0,1,9.72,11.596,11.567,13.8,19.0,10.0,23.134,3.694,
1202,3,2024-01-06,178,3610340322389,ELSÉVE SHP TOTAL REPAIR 5 200ML,1.0,1,8.463,10.084,10.071,12.0,19.0,9.0,10.071,1.608,
1203,3,2024-01-06,176,3610340232503,ELSÉVE SHP H.EXT CHEVEUX SECS 200ML,2.0,1,8.463,10.084,10.071,12.0,19.0,9.0,20.142,3.216,
1204,3,2024-01-06,179,3610340653643,ELSÉVE SHP STRAIGHT 72H 200ML,2.0,1,8.463,9.665,10.071,11.5,19.0,9.0,20.142,3.216,
1205,3,2024-01-06,174,3610340650819,ELSÉVE SHP ARGININE RESIST 200ML,2.0,1,9.282,10.085,11.046,12.0,19.0,9.0,22.091,3.527,
1206,3,2024-01-06,182,3610340007071,ELSÉVE SHP COLOR-VIVE  400ML,6.0,1,15.834,18.067,18.842,21.5,19.0,9.0,113.055,18.051,
1207,3,2024-01-06,180,3610340649691,ELSÉVE SHP ARGININE RESIST 400ML,6.0,1,15.834,18.067,18.842,21.5,19.0,9.0,113.055,18.051,
1212,9,2024-01-25,1098,6192409004728,DET JAVEL 1.5L,15.0,1,1.853,2.02,2.205,2.4,19.0,0.0,33.076,5.281,
1213,9,2024-01-25,1097,6192409004711,DET JAVEL 3L,4.0,1,2.735,3.025,3.255,3.6,19.0,0.0,13.019,2.079,
1214,9,2024-01-25,1253,6192002403133,Javel Judy 3L + 0.5L gratuit,4.0,1,3.109,3.613,3.7,4.3,19.0,0.0,14.799,2.363,
1215,9,2024-01-25,967,6192477630003,Javel Lilas Classic 1.5L,16.0,1,2.196,2.514,2.613,2.99,19.0,0.0,41.812,6.676,
1252,7,2024-01-10,1220,8697926014383,Class Deo Kids Spray Anime 125ML,0.0,1,3.4,4.162,4.046,4.95,19.0,15.0,0.0,0.0,
