id,benum,datebe,idsupplier,supplier,total,reference,auteur,numfacture,supplieraddress,suppliermatfiscal,userid,paymentstatus,paymentid,brofbe,beofbr,supfacture,factureid
62,0,2024-01-04,1,SDC,4694.075,FAC-202312-2312399,taher,0,,,1,0,0,0,0,0,0
63,0,2024-01-05,1,SDC,600.974,FAC-202401-2401004,taher,0,,,1,0,0,0,0,0,0
64,0,2024-01-08,11,peaudeauce,2098.684952,Phoenix Dist peadeauce,Mohamed Ali,0,,,1,0,0,0,0,0,0
65,0,2024-01-09,1,SDC,71.686,FAC-202401-2401006,taher,0,,,1,0,0,0,0,0,0
66,0,2024-01-09,1,SDC,1672.645,FAC-202401-2401002,taher,0,,,1,0,0,0,0,0,0
67,0,2024-01-10,1,SDC,1707.964,BLI-202401-48,taher,0,,,1,0,0,0,0,0,0
68,0,2024-01-11,3,Négoce distribution (Judy),1020.781,Fac-9030593963,taher,0,,,1,0,0,0,0,0,0
69,0,2024-01-12,1,SDC,1271.626,FAC-202401-2401009,taher,0,,,1,0,0,0,0,0,0
70,0,2024-01-12,6,Canal Food ( sunsilk),1936.884,,taher,0,,,1,0,0,0,0,0,0
71,0,2024-01-12,1,SDC,1256.412,BLI-202401-64,taher,0,,,1,0,0,0,0,0,0
72,0,2024-01-14,1,SDC,56.383,FAC-202401-2401010,taher,0,,,1,0,0,0,0,0,0
73,0,2024-01-13,7,La Brosse,669.371,100074034,taher,0,,,1,0,0,0,0,0,0
74,0,2024-01-15,1,SDC,196.912,FAC-202401-240112,taher,0,,,1,0,0,0,0,0,0
75,0,2024-01-16,8,ESSOURI DISTRIBUTION,630.6247444,DET BL 020442,Mohamed Ali,0,,,1,0,0,0,0,0,0
76,0,2024-01-17,4,lilas,664.877,BL 0402218377 DTERGENTS,taher,0,,,1,0,0,0,0,0,0
77,0,2024-01-17,4,lilas,744.309,BL-0410410397,taher,0,,,1,0,0,0,0,0,0
78,0,2024-01-17,9,Irsan de Service,131.976,Lavette Microfibre,taher,0,,,1,0,0,0,0,0,0
79,0,2024-01-18,3,Négoce distribution (Judy),1157.294,9030599224 Esuie tout ,taher,0,,,1,0,0,0,0,0,0
80,0,2024-01-20,1,SDC,1039.594,FAC-202401-2401017,taher,0,,,1,0,0,0,0,0,0
81,0,2024-01-22,10,Nadhif,1520.815,FAC-042044501 sans remise 3 % total ,taher,0,,,1,0,0,0,0,0,0
82,0,2024-01-23,1,SDC,644.066,FAC-202401-2401020,taher,0,,,1,0,0,0,0,0,0
83,0,2024-01-25,3,Négoce distribution (Judy),2444.517,FAC-9030604365,taher,0,,,1,0,0,0,0,0,0
84,0,2024-01-25,1,SDC,785.016,FAC-202401-2401022,taher,0,,,1,0,0,0,0,0,0
85,0,2024-01-25,4,lilas,312.551,,taher,0,,,1,0,0,0,0,0,0
86,0,2024-01-25,4,lilas,253.07,BLI-0402218507,taher,0,,,1,0,0,0,0,0,0
87,0,2024-01-26,1,SDC,120.0,FAC-202401-2401028,taher,0,,,1,0,0,0,0,0,0
88,0,2024-01-29,1,SDC,364.069,FAC-202401-2401030,taher,0,,,1,0,0,0,0,0,0
89,0,2024-01-29,4,lilas,2192.649,lilas ,taher,0,,,1,0,0,0,0,0,0
90,0,2024-02-01,11,peaudeauce,829.429,,taher,0,,,1,0,0,0,0,0,0
91,0,2024-02-02,3,Négoce distribution (Judy),90.018,papier toilette ,taher,0,,,1,0,0,0,0,0,0
92,0,2024-02-03,1,SDC,514.842,,taher,0,,,1,0,0,0,0,0,0
93,0,2024-02-03,1,SDC,444.887,DEV-202402-24,taher,0,,,1,0,0,0,0,0,0
94,0,2024-02-05,1,SDC,364.609,FAC-202402-2402038,taher,0,,,1,0,0,0,0,0,0
95,0,2024-02-07,1,SDC,4149.063,Fac-202402-2402040,taher,0,,,1,0,0,0,0,0,0
