Barcode,EAN,Category,ItemName,BuyPrice,SellPrice,ShortcutForeColor,ShortcutBackColor,Status,Shortcut,ItemStock,ItemBrand,delay,unit,StockFaible,ShortCutOrder,startingprice,discount,fodec,tva,marge,buypriceht,sellpriceht,defaultsupplier
759,6192488205825,2,R.B A/SHP FORFITIANT 250 ML,7.054,9.2,-1,-14774017,1,0,3.0,15,0,1,2.0,0,6.586,10.0,0.0,19.0,30.4,5.927,7.729,1759.0
760,5283022020408,9,Elegance Body Splash Tresia 300ML,7.497,9.8,-1,-14774017,1,0,0.0,38,0,1,2.0,0,6.3,0.0,0.0,19.0,30.7,6.3,8.234,0.0
761,6192488205818,2,R.B A/SHP Nutritif,7.054,9.2,-1,-14774017,1,0,3.0,15,0,1,2.0,0,6.586,10.0,0.0,19.0,30.43,5.927,7.731,1761.0
762,8001280026225,9,Azzura Talc Classic 200gr,7.081,9.2,-1,-14774017,1,0,0.0,0,0,1,2.0,0,5.95,0.0,0.0,19.0,29.9,5.95,7.729,0.0
763,6192488205832,2,R.B A/SHP Protecteur 250 ml,7.054,9.2,-1,-14774017,1,0,4.0,15,0,1,2.0,0,6.586,10.0,0.0,19.0,30.4,5.927,7.729,1763.0
764,6192488205979,2,R.B A/SHP Purifiant,7.054,9.2,-1,-14774017,1,0,7.0,15,0,1,2.0,0,6.586,10.0,0.0,19.0,30.4,5.927,7.729,1764.0
765,5285001952984,9,Elegance Facial Scrub Aleo Vera 500ML,10.0079,13.0002621,-1,-14774017,1,0,4.0,38,0,1,2.0,0,8.41,0.0,0.0,19.0,29.9,8.41,10.92459,1765.0
766,6192488205788,1,R.B Shampoo Fortifiant,6.834,6.9,-1,-14774017,1,0,5.0,15,0,1,2.0,0,6.381,10.0,0.0,19.0,1.0,5.743,5.8,1766.0
767,5285001952991,9,Elegance Facial Scrub Mint Fresh 500ML,10.008,13.0,-1,-14774017,1,0,2.0,38,0,1,2.0,0,8.41,0.0,0.0,19.0,29.9,8.41,10.925,0.0
768,5285001950003,9,Elegance Facial Scrub Mixed Herbs 500ML,10.008,13.01,-1,-14774017,1,0,4.0,38,0,1,2.0,0,8.41,0.0,0.0,19.0,30.0,8.41,10.933,0.0
769,5283022001179,9,Elegance hot oil Cream Keratine 1KG,9.007,9.99,-1,-14774017,1,0,1.0,38,0,1,2.0,0,8.41,10.0,0.0,19.0,10.91,7.569,8.395,1769.0
770,5283022001193,9,Elegance hot oil Cream Aleo Vera 1KG,9.007,9.99,-1,-14774017,1,0,0.0,38,0,1,2.0,0,8.41,10.0,0.0,19.0,10.91,7.569,8.395,0.0
771,6192488205771,1,R.B Shampoo Nutritif 250 ml,6.834,6.9,-1,-14774017,1,0,0.0,15,0,1,2.0,0,6.381,10.0,0.0,19.0,1.0,5.743,5.8,5771.0
772,6192488205795,1,R.B Shampoo Protector 250 ml,6.834,6.9,-1,-14774017,1,0,12.0,15,0,1,2.0,0,6.381,10.0,0.0,19.0,1.0,5.743,5.8,1772.0
773,5285001955046,9,Elegance Spike Oil Treatement Avocat 875ML,9.007,13.9,-1,-14774017,1,0,3.0,38,0,1,2.0,0,8.41,10.0,0.0,19.0,54.32,7.569,11.68,5773.0
774,6192488205801,1,R.B shampoo Purifiant 250 ml,6.834,6.9,-1,-14774017,1,0,7.0,15,0,1,2.0,0,6.381,10.0,0.0,19.0,1.0,5.743,5.8,1774.0
775,5285001955039,9,Elegance Spike Hair Treatement Honey 875ML,9.007,13.9,-1,-14774017,1,0,4.0,38,0,1,2.0,0,8.41,10.0,0.0,19.0,54.32,7.569,11.68,1775.0
776,6192488204903,1,R.B Shampoo Silver 500 ml,11.567,14.5,-1,-14774017,1,0,23.0,15,0,1,3.0,0,10.8,10.0,0.0,19.0,25.36,9.72,12.185,1776.0
777,6192488204880,1,R.B Shampoo Purifiant 500 ml,10.496,14.5,-1,-14774017,1,0,17.0,15,0,1,3.0,0,9.8,10.0,0.0,19.0,38.15,8.82,12.185,1777.0
778,5283022043605,12,No Limit Deo Homme 1 Million,5.5,7.4,-1,-14774017,1,0,0.0,45,0,1,2.0,0,4.622,0.0,0.0,19.0,34.54,4.622,6.218,
779,6192488204941,1,R.B Shampoo Nutritif 500 ml,10.496,14.5,-1,-14774017,1,0,13.0,15,0,1,6.0,0,9.8,10.0,0.0,19.0,38.15,8.82,12.185,1779.0
780,5283022043759,12,No Limit Deo Homme lot 2+1 Aqua,4.398,14.999,-1,-14774017,1,0,18.0,45,0,1,2.0,0,4.2,12.0,0.0,19.0,241.02,3.696,12.604,
781,6192488204927,1,R.B Shampoo Protector 500 ml,10.496,14.5,-1,-14774017,1,0,24.0,15,0,1,3.0,0,9.8,10.0,0.0,19.0,38.15,8.82,12.185,5781.0
782,5283022043612,12,No Limit Deo Homme Bleu,5.5,7.4,-1,-14774017,1,0,0.0,45,0,1,2.0,0,4.622,0.0,0.0,19.0,34.54,4.622,6.218,
783,5283022043650,12,No Limit Deo Homme Cool ( promo),4.398,7.4,-1,-14774017,1,0,0.0,45,0,1,2.0,0,4.2,12.0,0.0,19.0,68.24,3.696,6.218,
784,5283022043728,12,No Limit Deo Homme Hoge Bottle,4.998,7.4,-1,-14774017,1,0,0.0,45,0,1,2.0,0,4.2,0.0,0.0,19.0,48.05,4.2,6.218,
785,5283022043629,0,No Limit Deo Homme Narciso,4.398,7.522,-1,-14774017,1,0,15.0,45,0,1,2.0,0,4.2,12.0,0.0,19.0,71.02,3.696,6.321,
786,5283022043384,12,No Limit Deo Femme Apple,5.5,7.4,-1,-14774017,1,0,3.0,45,0,1,2.0,0,4.622,0.0,0.0,19.0,34.54,4.622,6.218,
787,5283022043407,12,No Limit Deo Femme Bella,5.5,7.4,-1,-14774017,1,0,9.0,45,0,1,2.0,0,4.622,0.0,0.0,19.0,34.54,4.622,6.218,
788,5283022043575,12,No Limit Deo Femme Bonne Fille,5.5,7.4,-1,-14774017,1,0,4.0,45,0,1,2.0,0,4.622,0.0,0.0,19.0,34.54,4.622,6.218,
789,6192488204750,4,R.B Masque Anti-chute 500 ml,9.46764,12.29846436,-1,-14774017,1,0,5.0,15,0,1,2.0,0,8.84,10.0,0.0,19.0,29.9,7.956,10.334844,1789.0
790,5283022043438,12,No Limit Deo Femme Cannes,5.5,7.4,-1,-14774017,1,0,3.0,45,0,1,2.0,0,4.622,0.0,0.0,19.0,34.54,4.622,6.218,
791,6192488204712,4,R.B Masque Protector 500 ml,9.468,12.298,-1,-14774017,1,0,5.0,15,0,1,2.0,0,8.84,10.0,0.0,19.0,29.9,7.956,10.335,1791.0
792,5283022043353,0,No Limit Deo Femme Lady,4.398,7.4,-1,-14774017,1,0,16.0,45,0,1,2.0,0,4.2,12.0,0.0,19.0,68.24,3.696,6.218,1792.0
793,6192488204699,4,R.B Masque Silver 500 ml,10.23,12.3,-1,-14774017,1,0,2.0,15,0,1,2.0,0,9.552,10.0,0.0,19.0,20.23,8.597,10.336,1793.0
794,5283022043483,12,No Limit Deo Femme Lidea,5.5,7.4,-1,-14774017,1,0,2.0,45,0,1,2.0,0,4.622,0.0,0.0,19.0,34.54,4.622,6.218,
795,6192488204736,4,R.B Masque Nutritif 500 ml,9.46764,12.300357888,-1,-14774017,1,0,5.0,15,0,1,2.0,0,8.84,10.0,0.0,19.0,29.92,7.956,10.3364352,1795.0
796,6192488202824,0,R.B Oxydant 20 V 120 ML,1.607,2.2,-1,-14774017,1,0,32.0,15,0,1,20.0,0,1.5,10.0,0.0,19.0,36.97,1.35,1.849,1796.0
797,6192488202831,0,R.B Oxydant 30V 120 ml,1.607,2.0,-1,-14774017,1,0,21.0,15,0,1,10.0,0,1.5,10.0,0.0,19.0,24.47,1.35,1.68,1797.0
798,6192488202848,0,R.B Oxydant 40V 120 ml,1.607,2.2,-1,-14774017,1,0,28.0,15,0,1,10.0,0,1.5,10.0,0.0,19.0,36.97,1.35,1.849,1798.0
799,6192488205917,4,R.B OIL REP Huile d'argan 250 ml,11.127,14.5,-1,-14774017,1,0,0.0,15,0,1,3.0,0,10.389,10.0,0.0,19.0,30.3,9.35,12.183,
800,8006569000842,4,R.B Poudre de coloroation Rapide,2.789,3.7,-1,-14774017,1,0,27.0,15,0,1,2.0,0,2.604,10.0,0.0,19.0,32.64,2.344,3.109,1800.0
801,5285001952687,15,Elegance Gel Wax,5.35,7.0,-1,-14774017,1,0,2.0,38,0,1,2.0,0,4.496,0.0,0.0,19.0,30.9,4.496,5.885,0.0
802,5285001959501,0,Elegance Hair Wax Millitaire,5.35,6.9,-1,-14774017,1,0,9.0,38,0,1,2.0,0,4.496,0.0,0.0,19.0,28.97,4.496,5.798,1802.0
803,6192488208512,4,R.B sirum Oil argan 125ml,20.937,24.9,-1,-14774017,1,0,0.0,15,0,1,2.0,0,19.549,10.0,0.0,19.0,18.95,17.594,20.928,0.0
804,5285001952694,0,Elegance Hair Pommade Transparent Gold,5.35,7.003,-1,-14774017,1,0,11.0,38,0,1,2.0,0,4.496,0.0,0.0,19.0,30.9,4.496,5.885,1804.0
805,6192488208482,4,R.B Sirum Oil Cristal 125ml,20.372,24.9,-1,-14774017,1,0,9.0,15,0,1,2.0,0,19.021,10.0,0.0,19.0,22.25,17.119,20.928,21805.0
806,5283022000028,15,Elegance Hair Pommade Vert,5.35,7.0,-1,-14774017,1,0,1.0,38,0,1,2.0,0,4.496,0.0,0.0,19.0,30.9,4.496,5.885,0.0
807,5285001951826,15,Elegance Plus Shaving Gel Moon 500ML,6.503,8.5,-1,-14774017,1,0,8.0,38,0,1,2.0,0,5.465,0.0,0.0,19.0,30.7,5.465,7.143,0.0
808,5285001952274,1,Elegance shp Miracle 500ML,6.5,8.5,-1,-14774017,1,0,9.0,38,0,1,2.0,0,5.462,0.0,0.0,19.0,30.8,5.462,7.144,1808.0
809,5285001952281,2,Elegance A/SHP Miracle 500ML,6.5,8.5,-1,-14774017,1,0,3.0,38,0,1,2.0,0,5.462,0.0,0.0,19.0,30.8,5.462,7.144,0.0
810,6192488208598,3,R.B Gel Douche Creamy 470 ml,4.179,5.5,-1,-14774017,1,0,18.0,15,0,1,2.0,0,3.902,10.0,0.0,19.0,31.59,3.512,4.621,1810.0
811,6192488205894,3,R.B Gel Douche energizing,4.179,5.5,-1,-14774017,1,0,9.0,15,0,1,2.0,0,3.902,10.0,0.0,19.0,31.59,3.512,4.621,
812,6192488205856,3,R.B Gel Douche Sensuel 470 ml,4.179,5.5,-1,-14774017,1,0,5.0,15,0,1,2.0,0,3.902,10.0,0.0,19.0,31.59,3.512,4.621,1812.0
813,6192488205986,0,R.B Gel Douche Relaxing 470 ml,4.179,4.9,-1,-14774017,1,0,5.0,15,0,1,2.0,0,3.902,10.0,0.0,19.0,17.25,3.512,4.118,1813.0
814,6192488205870,3,R.B Gel Douche Tropical 470 ml,4.179,5.5,-1,-14774017,1,0,8.0,15,0,1,2.0,0,3.902,10.0,0.0,19.0,31.59,3.512,4.621,
815,6192488208581,3,R.B Gel Douche Délicious 470 ml,4.179,5.5,-1,-14774017,1,0,2.0,15,0,1,2.0,0,3.902,10.0,0.0,19.0,31.59,3.512,4.621,
816,6192488206464,0,R.B Gel Douche Exotic 470 ml,4.179,4.9,-1,-14774017,1,0,5.0,15,0,1,2.0,0,3.902,10.0,0.0,19.0,17.25,3.512,4.118,1816.0
817,6192488208574,3,R.B Gel Douche Sweet 470 ml,4.179,5.5,-1,-14774017,1,0,14.0,15,0,1,2.0,0,3.902,10.0,0.0,19.0,31.59,3.512,4.621,1817.0
818,6192488201827,6,R.B Teinture 7.0,5.262894,6.899654034,-1,-14774017,1,0,7.0,15,0,1,6.0,0,4.914,10.0,0.0,19.0,31.1,4.4226,5.7980286,1818.0
819,6192488201926,0,R.B Teinture 6.1,5.263,6.9,-1,-14774017,1,0,10.0,15,0,1,6.0,0,4.914,10.0,0.0,19.0,31.1,4.423,5.799,1819.0
820,6192488201803,0,R.B Teinture 5.0,5.263,6.9,-1,-14774017,1,0,12.0,15,0,1,6.0,0,4.914,10.0,0.0,19.0,31.1,4.423,5.799,1820.0
821,6192488202794,0,R.B Teinture 6.84,4.971,6.9,-1,-14774017,1,0,10.0,15,0,1,6.0,0,4.914,15.0,0.0,19.0,38.81,4.177,5.798,
822,6192488201834,0,R.B Teinture 8.0,5.263,6.9,-1,-14774017,1,0,12.0,15,0,1,6.0,0,4.914,10.0,0.0,19.0,31.1,4.423,5.799,1822.0
823,6192488201933,0,R.B Teinture 7.1,5.263,6.9,-1,-14774017,1,0,9.0,15,0,1,6.0,0,4.914,10.0,0.0,19.0,31.1,4.423,5.799,1823.0
824,6192488201810,0,R.B Teinture 6.0,5.263,6.9,-1,-14774017,1,0,9.0,15,0,1,6.0,0,4.914,10.0,0.0,19.0,31.1,4.423,5.799,1824.0
825,6192488201957,0,R.B Teinture 7.31,4.971,6.9,-1,-14774017,1,0,9.0,15,0,1,6.0,0,4.914,15.0,0.0,19.0,38.81,4.177,5.798,1825.0
826,6192488201797,0,R.B Teinture 4.0,5.263,6.9,-1,-14774017,1,0,9.0,15,0,1,6.0,0,4.914,10.0,0.0,19.0,31.1,4.423,5.799,1826.0
827,6192488201841,0,R.B Teinture 9.0,5.263,6.9,-1,-14774017,1,0,11.0,15,0,1,6.0,0,4.914,10.0,0.0,19.0,31.1,4.423,5.799,1827.0
828,6192488201773,0,R.B Teinture 1.0,5.262894,6.899654034,-1,-14774017,1,0,9.0,15,0,1,6.0,0,4.914,10.0,0.0,19.0,31.1,4.4226,5.7980286,1828.0
829,6192488201940,0,R.B Teinture 8.1,5.262894,6.899654034,-1,-14774017,1,0,7.0,15,0,1,6.0,0,4.914,10.0,0.0,19.0,31.1,4.4226,5.7980286,1829.0
830,6192488202923,0,R.B Teinture 9.1,5.263,6.9,-1,-14774017,1,0,10.0,15,0,1,6.0,0,4.914,10.0,0.0,19.0,31.1,4.423,5.799,1830.0
831,6192488202787,6,R.B Teinture 5.84,4.970511,6.9000633702,-1,-14774017,1,0,9.0,15,0,1,6.0,0,4.914,15.0,0.0,19.0,38.82,4.1769,5.79837258,1831.0
832,6192488204965,1,R.B shp Anti-chute 500ml,11.567,14.5,-1,-14774017,1,0,11.0,15,0,1,6.0,0,10.8,10.0,0.0,19.0,25.36,9.72,12.185,5832.0
833,5000204010107,0,PLIZ Soin expert Bois lavande 300ML,8.28,9.6,-1,-14774017,1,0,3.0,0,0,1,2.0,0,6.958,0.0,0.0,19.0,15.93,6.958,8.066,
834,5000204011142,30,PLIZ Netoyant multi-surfaces Citron Vert 300ml,8.28,9.6,-1,-14774017,1,0,8.0,0,0,1,2.0,0,6.958,0.0,0.0,19.0,15.93,6.958,8.066,
835,6291069707212,24,Herbl dentifrices Anti-age (+brosse à dents),5.355,6.95,-1,-14774017,1,0,0.0,0,0,1,2.0,0,4.5,0.0,0.0,19.0,29.8,4.5,5.841,
836,6291069707175,24,Dabur dentifrices Herb'l Whitening,3.808,4.95,-1,-14774017,1,0,0.0,46,0,1,2.0,0,3.2,0.0,0.0,19.0,30.0,3.2,4.16,
837,6291069715040,24,Dabur dentifrices Herb'l Olive (+Brosse a dents),5.355,7.0,-1,-14774017,1,0,0.0,46,0,1,2.0,0,4.5,0.0,0.0,19.0,30.8,4.5,5.886,
838,6291069715057,24,Dabur dentifrices Herb'l Blackseed (+ Brosse a dents),5.355,7.0,-1,-14774017,1,0,0.0,46,0,1,2.0,0,4.5,0.0,0.0,19.0,30.8,4.5,5.886,
839,6291069744095,24,Dabur dentifrices Herb'l charbon (+Brosse a dents),5.355,6.95,-1,-14774017,1,0,0.0,46,0,1,2.0,0,4.5,0.0,0.0,19.0,29.8,4.5,5.841,
840,6291069707151,24,Dabur dentifrices Herb'l Clove,3.808,4.95,-1,-14774017,1,0,0.0,46,0,1,2.0,0,3.2,0.0,0.0,19.0,30.0,3.2,4.16,
841,8001280013386,1,SapoNello shp kids abricot 400 ml,8.6275,11.198495,-1,-14774017,1,0,13.0,0,0,1,2.0,0,7.25,0.0,0.0,19.0,29.8,7.25,9.4105,1841.0
842,8001280013515,0,SapoNello shp kids Barbe a papa 400 ml,8.628,11.2,-1,-14774017,1,0,2.0,0,0,1,2.0,0,7.25,0.0,0.0,19.0,29.8,7.25,9.411,
843,8001280013508,0,SapoNello shp kids Poire 400 ml,8.6275,11.198495,-1,-14774017,1,0,16.0,0,0,1,2.0,0,7.25,0.0,0.0,19.0,29.8,7.25,9.4105,1843.0
844,8003650005007,26,WC net bloc lime fresh x 4,7.526,9.9,-1,-14774017,1,0,10.0,0,0,1,2.0,0,6.324,0.0,0.0,19.0,31.55,6.324,8.319,1844.0
845,8004050201563,26,WC net bloc Mountain Fresh x 4,7.526,9.9,-1,-14774017,1,0,17.0,0,0,1,2.0,0,6.324,0.0,0.0,19.0,31.55,6.324,8.319,1845.0
846,8004050009756,26,WC net bloc Ocean Fresh*4,7.526,9.9,-1,-14774017,1,0,13.0,0,0,1,2.0,0,6.324,0.0,0.0,19.0,31.55,6.324,8.319,1846.0
847,8004050030545,0,Fourmet Nettoyant Four 300 ml,7.021,9.2,-1,-14774017,1,0,10.0,0,0,1,2.0,0,5.9,0.0,0.0,19.0,31.0,5.9,7.729,0.0
848,8003650009470,30,Smac Dégraissant 650ml with bleach,8.271,9.9,-1,-14774017,1,0,0.0,0,0,1,2.0,0,6.95,0.0,0.0,19.0,19.7,6.95,8.319,
849,8002150030526,30,Smac Netoyant inox 500 ml,6.843,8.9,-1,-14774017,1,0,11.0,0,0,1,2.0,0,5.75,0.0,0.0,19.0,30.07,5.75,7.479,0.0
850,6192488205993,6,R.B Kit Coloration 1.0,5.969754,7.8991784928,-1,-14774017,1,0,5.0,15,0,1,3.0,0,5.574,10.0,0.0,19.0,32.32,5.0166,6.63796512,1850.0
851,6192488206051,6,R.B Kit Coloration 5.0,5.969754,7.8991784928,-1,-14774017,1,0,7.0,15,0,1,3.0,0,5.574,10.0,0.0,19.0,32.32,5.0166,6.63796512,1851.0
852,6192488206044,6,R.B Kit Coloration 4.0,5.97,7.9,-1,-14774017,1,0,7.0,15,0,1,3.0,0,5.574,10.0,0.0,19.0,32.32,5.017,6.638,1852.0
853,6291069001105,4,Dabur Amla Gold Huil cheveux 100 ml,4.177,5.4,-1,-14774017,1,0,2.0,46,0,1,2.0,0,3.9,10.0,0.0,19.0,29.3,3.51,4.538,1853.0
854,6192488206181,6,R.B Kit Coloration 9.1,5.97,7.9,-1,-14774017,1,0,6.0,15,0,1,3.0,0,5.574,10.0,0.0,19.0,32.32,5.017,6.638,
855,6291069710427,4,Dabur Amla Huile Cheveux Enfants 200 ml,9.461,12.299,-1,-14774017,1,0,2.0,46,0,1,2.0,0,7.95,0.0,0.0,19.0,30.0,7.95,10.335,
856,6192488206150,6,R.B Kit Coloration 8.0,5.969754,7.8991784928,-1,-14774017,1,0,9.0,15,0,1,3.0,0,5.574,10.0,0.0,19.0,32.32,5.0166,6.63796512,5856.0
857,6192488206068,6,R.B Kit Coloration 6.0,5.969754,7.8991784928,-1,-14774017,1,0,4.0,15,0,1,3.0,0,5.574,10.0,0.0,19.0,32.32,5.0166,6.63796512,5857.0
858,6192488206075,6,R.B Kit Coloration 6.1,5.97,7.9,-1,-14774017,1,0,9.0,15,0,1,3.0,0,5.574,10.0,0.0,19.0,32.32,5.017,6.638,1858.0
859,5000204660753,26,kiwi cirage chaussure Blanc 75 ml,7.103,9.3,-1,-14774017,1,0,3.0,0,0,1,2.0,0,5.969,0.0,0.0,19.0,30.9,5.969,7.813,0.0
860,6192488206129,6,R.B Kit Coloration 7.1,5.97,7.9,-1,-14774017,1,0,3.0,15,0,1,3.0,0,5.574,10.0,0.0,19.0,32.32,5.017,6.638,
861,6192488206174,6,R.B Kit Coloration 9.0,5.97,7.9,-1,-14774017,1,0,5.0,15,0,1,3.0,0,5.574,10.0,0.0,19.0,32.32,5.017,6.638,1861.0
862,6192488206167,6,R.B Kit Coloration 8.1,5.969754,7.8991784928,-1,-14774017,1,0,8.0,15,0,1,3.0,0,5.574,10.0,0.0,19.0,32.32,5.0166,6.63796512,1862.0
863,6192488206105,6,R.B Kit Coloration 7.0,5.97,7.9,-1,-14774017,1,0,4.0,15,0,1,3.0,0,5.574,10.0,0.0,19.0,32.32,5.017,6.638,1863.0
864,6192488206013,6,R.B Kit Coloration 10.0,5.97,7.9,-1,-14774017,1,0,4.0,15,0,1,3.0,0,5.574,10.0,0.0,19.0,32.32,5.017,6.638,
865,5000204660692,26,Cirage chaussure kiwi  Marron 75 ml,7.103,9.3,-1,-14774017,1,0,2.0,0,0,1,2.0,0,5.969,0.0,0.0,19.0,30.89,5.969,7.813,0.0
866,5000204668506,26,kiwi cirage chaussure incolor 200 ml,13.166,17.1,-1,-14774017,1,0,3.0,0,0,1,2.0,0,11.064,0.0,0.0,19.0,29.85,11.064,14.367,0.0
867,5000204032031,26,Cirage chaussure kiwi Noir 200 ml,13.167,17.1,-1,-14774017,1,0,3.0,0,0,1,2.0,0,11.065,0.0,0.0,19.0,29.85,11.065,14.368,0.0
868,8003650003676,30,Merrito Aide Repassage 500 ml,7.735,9.99,-1,-14774017,1,0,10.0,0,0,1,2.0,0,6.5,0.0,0.0,19.0,29.1,6.5,8.392,0.0
869,6291069651072,4,Vatika huile cheveux almond 200ml,6.664,8.69652,-1,-14774017,1,0,6.0,47,0,1,2.0,0,5.6,0.0,0.0,19.0,30.5,5.6,7.308,1869.0
870,6291069704037,4,Vatika huile cheveux black seed 200 ml,6.664,8.69652,-1,-14774017,1,0,6.0,47,0,1,2.0,0,5.6,0.0,0.0,19.0,30.5,5.6,7.308,1870.0
871,6291069651034,4,Vatika huile cheveux cactus 200 ml,6.664,8.69652,-1,-14774017,1,0,4.0,47,0,1,2.0,0,5.6,0.0,0.0,19.0,30.5,5.6,7.308,1871.0
872,6291069719857,4,Vatika Huile Cheveux Castor 200 ml,6.664,8.7,-1,-14774017,1,0,6.0,47,0,1,2.0,0,5.6,0.0,0.0,19.0,30.5,5.6,7.308,1872.0
873,6291069651058,4,Vatika Huile Cheveux  Coconut 200 ml,6.664,8.7,-1,-14774017,1,0,3.0,47,0,1,2.0,0,5.6,0.0,0.0,19.0,30.5,5.6,7.308,1873.0
874,6291069704051,4,Vatika Huile Cheveux Garlic 200 ml,6.664,8.7,-1,-14774017,1,0,5.0,47,0,1,2.0,0,5.6,0.0,0.0,19.0,30.5,5.6,7.308,1874.0
875,6291069757354,4,Vatika  Huile Cheveux Onion 200 ml,6.664,8.7,-1,-14774017,1,0,3.0,47,0,1,2.0,0,5.6,0.0,0.0,19.0,30.5,5.6,7.308,0.0
876,8004060021007,30,Omino Bianco Detachant 500 ml,6.367,8.3,-1,-14774017,1,0,9.0,0,0,1,2.0,0,5.35,0.0,0.0,19.0,30.35,5.35,6.974,1876.0
877,8901009111631,24,Dabur dentifrices 120+50gr original miswak,2.881,4.8,-1,-14774017,1,0,0.0,0,0,1,2.0,0,2.69,10.0,0.0,19.0,66.6,2.421,4.033,
878,6291069210101,9,Dabur  Herbolene aloe vera115 ml,3.152,4.8,-1,-14774017,1,0,18.0,0,0,1,2.0,0,2.649,0.0,0.0,19.0,52.27,2.649,4.034,1878.0
879,5000204771688,0,Air Fresh Glade Lavande 300 ml,6.597,7.9,-1,-14774017,1,0,0.0,0,0,1,2.0,0,5.544,0.0,0.0,19.0,19.73,5.544,6.638,0.0
880,5000204771565,0,Air Fresh Glade Relaxing Zen 300 ml,6.597,7.9,-1,-14774017,1,0,0.0,0,0,1,2.0,0,5.544,0.0,0.0,19.0,19.73,5.544,6.638,0.0
881,5000204771862,0,Air Fresh Glade Muguet 300 ml,6.597,7.9,-1,-14774017,1,0,0.0,0,0,1,2.0,0,5.544,0.0,0.0,19.0,19.73,5.544,6.638,0.0
882,5000204070224,0,Air Fresh Glade Vanilla 300 ml,6.597,7.9,-1,-14774017,1,0,0.0,0,0,1,2.0,0,5.544,0.0,0.0,19.0,19.73,5.544,6.638,0.0
883,3346029989467,0,Carolin Netoyant Multi-surface 650 ml,8.271,10.8,-1,-14774017,1,0,0.0,0,0,1,2.0,0,6.95,0.0,0.0,19.0,30.58,6.95,9.075,5883.0
884,8001280001765,0,AZZORRA anticalcaire Felce  750 ml,6.248,8.0,-1,-14774017,1,0,0.0,0,0,1,2.0,0,5.25,0.0,0.0,19.0,28.0,5.25,6.72,0.0
885,MR11-227,27,Sapin Vert 60 cm,4.0,5.8,-1,-14774017,1,0,1.0,0,0,1,2.0,0,3.361,0.0,0.0,19.0,45.0,3.361,4.873,0.0
886,MR11-127,27,Sapin vert 30 cm,3.0,4.8,-1,-14774017,1,0,1.0,0,0,1,2.0,0,2.521,0.0,0.0,19.0,60.0,2.521,4.034,0.0
887,1812700000001,27,Chapeau noél,2.499,5.0,-1,-14774017,1,0,0.0,0,0,1,2.0,0,2.1,0.0,0.0,19.0,100.0,2.1,4.2,0.0
888,1852700000007,27,Chapeau noél barba,7.0,9.8,-1,-14774017,1,0,0.0,0,0,1,2.0,0,5.882,0.0,0.0,19.0,40.0,5.882,8.235,0.0
889,MR17-827,27,Decort Sapin,8.0,12.0,-1,-14774017,1,0,4.0,0,0,1,2.0,0,6.723,0.0,0.0,19.0,50.0,6.723,10.085,0.0
890,MR16-627,27,Boule Sapin,11.799,16.0,-1,-14774017,1,0,5.0,0,0,1,2.0,0,9.915,0.0,0.0,19.0,35.6,9.915,13.445,0.0
891,MH-2-826,27,Bougie Rand 10 pc mult,3.0,3.8,-1,-14774017,1,0,1.0,0,0,1,2.0,0,2.521,0.0,0.0,19.0,26.7,2.521,3.194,0.0
892,MH-2-426,27,Bougie parfumé couer,3.0,3.8,-1,-14774017,1,0,1.0,0,0,1,2.0,0,2.521,0.0,0.0,19.0,26.7,2.521,3.194,0.0
893,MR15-1425,27,Gurlande lumineux blanc,12.8,14.0,-1,-14774017,1,0,2.0,0,0,1,2.0,0,10.756,0.0,0.0,19.0,9.4,10.756,11.767,0.0
895,MR15-1625,27,Gurlande rouge,12.8,14.0,-1,-14774017,1,0,0.0,0,0,1,2.0,0,10.756,0.0,0.0,19.0,9.4,10.756,11.767,0.0
896,MR15-1325,27,Gurlande Couleur,12.8,14.0,-1,-14774017,1,0,0.0,0,0,1,2.0,0,10.756,0.0,0.0,19.0,9.4,10.756,11.767,0.0
897,MR15-125,27,Gurlande Lumineux Papa,14.799,16.8,-1,-14774017,1,0,1.0,0,0,1,2.0,0,12.436,0.0,0.0,19.0,13.53,12.436,14.119,0.0
898,MR16-527,27,Boule Sapin,11.8,16.0,-1,-14774017,1,0,3.0,0,0,1,2.0,0,9.916,0.0,0.0,19.0,35.6,9.916,13.446,0.0
899,MR17-1127,27,Decort Sapin,14.0,19.8,-1,-14774017,1,0,3.0,0,0,1,2.0,0,11.765,0.0,0.0,19.0,41.43,11.765,16.639,0.0
900,MR17-927,27,Decort Sapin,7.999,12.0,-1,-14774017,1,0,1.0,0,0,1,2.0,0,6.722,0.0,0.0,19.0,50.0,6.722,10.083,0.0
901,MR17-1427,27,Sapin PM 30 CM,4.499,5.8,-1,-14774017,1,0,0.0,0,0,1,2.0,0,3.781,0.0,0.0,19.0,28.9,3.781,4.874,0.0
902,MR17-1327,27,Sapin  pm 10 cm,3.0,3.8,-1,-14774017,1,0,0.0,0,0,1,2.0,1,2.521,0.0,0.0,19.0,26.6,2.521,3.192,0.0
903,MR17-1227,27,Lunette Papa noél,2.499,4.2,-1,-14774017,1,0,7.0,0,0,1,2.0,1,2.1,0.0,0.0,19.0,68.0,2.1,3.528,0.0
904,MR16-327,27,Boule Sapin,11.8,16.0,-1,-14774017,1,0,1.0,0,0,1,2.0,1,9.916,0.0,0.0,19.0,35.6,9.916,13.446,0.0
