id,EAN,itemname,updatedate,itemstock,oldbuyprice,oldsellprice,newbuyprice,newsellprice,username,itemid
19,887930422030,RASOIR KODAK MAX 5 LAMES,2023-11-24,12.0,18.288,23.77,18.553,24.12,Admin,697
20,887930422306,RASOIR KODAK ULTRA 3 21 CART,2023-11-24,24.0,16.171,21.02,16.406,21.33,Admin,696
21,887930419979,RASOIR KODAK MAX 3 PACK DE 5,2023-11-24,24.0,5.133,6.67,5.208,6.77,Admin,699
22,887930421972,RASOIR KODAK ULTRA 5 LAMES,2023-11-24,12.0,28.401,36.92,28.812,37.46,Admin,694
23,887930419993,RASOIR KODAK ULTRA 3 CART,2023-11-24,24.0,5.299,6.89,5.375,6.99,Admin,693
24,887930421989,RASOIR KODAK KIT 4 CART 5 LAMES,2023-11-24,24.0,12.999,16.9,13.187,17.14,Admin,692
25,887930419955,RASOIR KODAK MAX 2 BLEU,2023-11-24,24.0,5.317,6.91,5.394,7.01,Admin,691
26,887930419962,RASOIR KODAK MAX 2 ROSE,2023-11-24,24.0,5.317,6.91,5.394,7.01,Admin,690
27,6192488205818,R.B A/SHP Nutritif,2023-12-02,0.0,7.837,10.19,7.054,9.17,Admin,761
28,6192488205825,R.B A/SHP FORFITIANT 250 ML,2023-12-02,0.0,7.837,10.19,7.054,9.17,Admin,759
29,MR18-127,Chapeau noél,2023-12-04,0.0,2.499,3.0,2.499,5.0,Admin,887
30,MR18-527,Chapeau noél barba,2023-12-04,0.0,7.0,7.8,7.0,9.8,Admin,888
31,MR17-327,Decor Sapin,2023-12-04,0.0,10.0,15.0,10.0,14.0,Admin,906
32,3600523959716,L'oreal Gel Wash Hyaluron Expert 200 ml,2023-12-05,0.0,22.61,29.39,29.75,38.68,Admin,924
33,6192011814005,Serviette de table 30*30 Narcisse,2023-12-07,24.0,1.676,2.18,1.403,1.82,Admin,1037
34,6192011804075,Serv 30*30 Table,2023-12-07,0.0,1.403,1.82,1.676,2.18,Admin,974
35,6192477630003,Javel Lilas Classic 1.5L,2023-12-07,12.0,3.109,4.04,2.613,3.4,Admin,967
36,6192477630041,Javel Lilas Classic 3L,2023-12-07,12.0,4.2,5.46,3529.54,4588.4,Admin,968
37,6192477630041,Javel Lilas Classic 3L,2023-12-07,12.0,3529.54,4588.4,3.53,4.59,Admin,968
38,6192477630089,Javel Lilas Classic 4.75L,2023-12-07,12.0,6.248,8.12,5.25,6.82,Admin,969
39,6192477630027,Javel Lilas Lavande 1.5L,2023-12-07,12.0,3.545,4.61,2.975,3.87,Admin,970
40,6192477630065,Javel Lilas Lavande 3L,2023-12-07,6.0,5.132,6.67,4.313,5.61,Admin,971
41,6192477630119,Javel Lilas Citron 4.75L,2023-12-07,4.0,7.365,9.57,6.188,8.04,Admin,972
42,6192477610838,Poudre Main Lilas Anti Tache 1KG,2023-12-07,6.0,6.992,9.09,5.876,7.64,Admin,926
43,6192477610821,Poudre Main Lilas Fraicheur 1KG,2023-12-07,6.0,6.992,9.09,5.876,7.64,Admin,927
44,6192477610845,Poudre Main Lilas Savon Marseille 1KG,2023-12-07,6.0,6.992,9.09,5.876,7.64,Admin,928
45,6192477610814,Poudre Main Lilas Savon Marseille 300GR,2023-12-07,20.0,2.23,2.9,1.874,2.44,Admin,929
46,6192477610791,Poudre Main Lilas Fraicheur 300GR,2023-12-07,20.0,2.23,2.9,1.874,2.44,Admin,930
47,6192477610807,Poudre Main Lilas Anti Tache 300GR,2023-12-07,20.0,2.23,2.9,1.874,2.44,Admin,931
48,6192477610074,Poudre Main Clean Rose 160GR,2023-12-07,40.0,0.721,0.94,0.606,0.79,Admin,932
49,6192477610067,Poudre Main Clean Citron 160GR,2023-12-07,40.0,0.721,0.94,0.606,0.79,Admin,933
50,6192477611231,Poudre Main Clean Citron 300GR,2023-12-07,20.0,1.518,1.97,1.276,1.66,Admin,934
51,6192477610722,Poudre Main Clean Rose 300GR,2023-12-07,20.0,1.518,1.97,1.276,1.66,Admin,935
52,6192477611071,Poudre Main Clean Citron 1KG,2023-12-07,6.0,4.493,5.84,3.776,4.91,Admin,936
53,6192477610753,Poudre Main Clean Rose 1KG,2023-12-07,6.0,4.493,5.84,3.776,4.91,Admin,937
54,6192477623999,Sol & Surface Folrale,2023-12-07,5.0,3.947,5.13,3.317,4.31,Admin,938
55,6192477623944,Sol & Surface Savon Marseille,2023-12-07,7.0,3.947,5.13,3.317,4.31,Admin,939
56,6192477620219,Det Liquide Main Lilas 3L Laine,2023-12-07,2.0,13.09,17.02,11.0,14.3,Admin,940
57,6192477622442,Gel Machine Lilas Clean Power 5L,2023-12-07,3.0,30.168,39.22,25.351,32.96,Admin,943
58,6192477622176,Gel Machine Lilas Clean Power 3L,2023-12-07,4.0,19.22,24.99,16.151,21.0,Admin,944
59,6192477622169,Gel Machine Lilas Active Power 3L,2023-12-07,4.0,19.22,24.99,16.151,21.0,Admin,945
60,6192477623548,Gel Machine Lilas Floral 3L,2023-12-07,4.0,19.22,24.99,16.151,21.0,Admin,946
61,6192477623364,Gel Machine Lilas F Intense 2.5L,2023-12-07,4.0,20.111,26.14,16.898,21.97,Admin,947
62,6192477620349,Assoup Lilas Fraich Lavande 3L,2023-12-07,4.0,16.365,21.27,13.881,18.05,Admin,948
63,6192477620325,Assoup Lilas Fraich Supreme 3L,2023-12-07,4.0,16.365,21.27,13.752,17.88,Admin,949
64,6192477620332,Assoup Lilas Fraich Florale 3L,2023-12-07,4.0,16.365,21.27,13.762,17.89,Admin,950
65,6192477610470,Poudre Machine Enzymax Anti Tache Lilas 4KG,2023-12-07,3.0,22.372,29.08,18.8,24.44,Admin,953
66,6192477610487,Poudre Machine Enzymax Savon Marseille Lilas 4KG,2023-12-07,3.0,22.372,29.08,18.8,24.44,Admin,952
67,6192477620264,Assoup Lilas Florale 1L,2023-12-07,10.0,6.01,7.81,5.049,6.56,Admin,954
68,6192477620257,Assoup Lilas Supreme 1L,2023-12-07,10.0,6.01,7.81,5.049,6.56,Admin,955
69,6192477621810,Liquide Vaiselle Lilas Citron 580L,2023-12-07,12.0,3.264,4.24,2.743,3.57,Admin,956
70,6192477621568,Liquide Vaiselle Lilas Citron 1L,2023-12-07,12.0,5.702,7.41,4.792,6.23,Admin,957
71,6192477621247,Sol & Surface Lilas Lavande Jasmin 1L,2023-12-07,9.0,4.701,6.11,3.95,5.13,Admin,958
72,6192477623135,Liquide Vaiselle Lilas Citron 2.5L,2023-12-07,4.0,13.612,17.7,11.438,14.87,Admin,959
73,6192477624125,Deso Lilas Extra Mouattar Rose Lavande 2L,2023-12-07,6.0,4.73,6.15,3.975,5.17,Admin,960
74,6192477623395,Vaiss Lilas Extra Lammaa Citron Jaune 2L,2023-12-07,6.0,8.854,11.51,7.44,9.67,Admin,961
75,6192477624101,Multiusage Lilas Mounadhef Pomme 2L,2023-12-07,6.0,8.567,11.14,7.198,9.36,Admin,962
76,6192477621650,Multiusage Lilas Mounadhef Pomme 5L,2023-12-07,3.0,18.052,23.47,15.17,19.72,Admin,963
77,6192477621711,Deso Lilas Mouattar Lavande 5L,2023-12-07,3.0,7.943,10.33,6.675,8.68,Admin,964
78,6192477621629,Liquide Main Lilas Narjess Laine 5L,2023-12-07,3.0,19.373,25.18,16.279,21.16,Admin,965
79,6192477623340,Vaisselle Lammaa Citron Jaune 5L,2023-12-07,3.0,18.296,23.78,15.375,19.99,Admin,966
80,6192477620271,Assoup Lilas Lavande 1L,2023-12-07,10.0,6.01,7.81,5.049,6.56,Admin,973
81,6192011804075,Serv 30*30 Table,2023-12-07,24.0,1.676,2.18,1.408,1.83,Admin,974
82,6192011813404,Couche Pants Large Lilas 14 PCS,2023-12-07,3.0,30.236,39.31,25.408,33.03,Admin,975
83,6192011813381,Couche Pants Large Lilas 10 PCS,2023-12-07,4.0,22.556,29.32,18.956,24.64,Admin,976
84,6192011813398,Couche Pants M Lilas 14PCS,2023-12-07,3.0,28.017,36.42,23.544,30.61,Admin,977
85,6192011809193,Couche Pants M Lilas 10 PCS,2023-12-07,4.0,21.034,27.34,17.676,22.98,Admin,978
86,6192011804150,Couche Adulte 15 Large,2023-12-07,3.0,29.266,38.04,24.593,31.97,Admin,979
87,6192011804167,Couche Adulte 15 Medium,2023-12-07,3.0,25.696,33.4,21.593,28.07,Admin,980
88,6192011813022,23*23 1PL Colore Orange 90,2023-12-07,24.0,1.391,1.81,1.169,1.52,Admin,981
89,6192011803726,Clip Ultra Super 8,2023-12-07,48.0,3.749,4.87,3.15,4.1,Admin,982
90,6192011803573,30*30 Premium Simple,2023-12-07,24.0,1.765,2.29,1.483,1.93,Admin,983
91,6192011803566,23*23 Premium Simple,2023-12-07,24.0,1.428,1.86,1.2,1.56,Admin,984
92,6192011803580,40*40 Premium Simple,2023-12-07,20.0,3.234,4.2,2.718,3.53,Admin,985
93,6192011811639,Lingette Antibacterienne 15,2023-12-07,48.0,1.344,1.75,1.128,1.47,Admin,986
94,6192011811813,Couche Bébé 15-25 Confort max Actif,2023-12-07,5.0,18.148,23.59,15.25,19.82,Admin,987
95,6192011811776,PM 2-4 Confort Max Actif,2023-12-07,6.0,12.62,16.41,10.604,13.78,Admin,988
96,6192011809353,Lingette Bebe 72 Confort Max Avec Lid,2023-12-07,24.0,5.105,6.64,4.29,5.58,Admin,989
97,6192011811820,Couche Bébé 16+ Confort Max Actif,2023-12-07,5.0,18.148,23.59,15.25,19.82,Admin,993
98,6192011811806,Couche Bébé 9-18 Confort Max Actif,2023-12-07,5.0,18.148,23.59,15.25,19.82,Admin,994
99,6192011811790,Couche Bébé 5-10 Confort Max Actif,2023-12-07,5.0,18.148,23.59,15.25,19.82,Admin,995
100,6192011811783,Couche Bébé 5-3 Confort Max Actif,2023-12-07,5.0,18.148,23.59,15.25,19.82,Admin,996
101,6192011809575,Ling Confort Max 20 Pcs,2023-12-07,24.0,2.069,2.69,1.739,2.26,Admin,997
102,6192011808578,Lingette Bebe 72 Avec LID,2023-12-07,24.0,5.105,6.64,4.29,5.58,Admin,998
103,6192011803740,Clip Ultra Nuit 7,2023-12-07,48.0,3.749,4.87,3.15,4.1,Admin,999
104,6192011813350,Lilas Clip Nuit 8 Parfume,2023-12-07,24.0,3.038,3.95,2.553,3.32,Admin,1000
105,6192011813336,Lilas Clip Normal 10 Parfume,2023-12-07,24.0,3.038,3.95,2.553,3.32,Admin,1001
106,6192011813343,Lilas Clip Super 9 Parfume,2023-12-07,24.0,3.038,3.95,2.553,3.32,Admin,1002
107,6192011813329,Lilas Clip Nuit 8 Plus,2023-12-07,24.0,3.133,4.07,2.632,3.42,Admin,1003
