id,beid,bedate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,fodec,montant,totaltva,totalremise,totalfodec,lot
1680,9,2024-09-24,6,3610340652370,U.D SHP CHARBON NOIR ET HUILE DE NIGELLE 200ML,12.0,1,6.939,9.021,8.257,10.74,19.0,9.0,0.0,99.089,15.821,0.0,0.0,
1681,9,2024-09-24,7,3610340634284,U.D SHP LAIT D'AMANDE NOURRICIE 200ML,2.0,1,6.863,8.922,8.166,10.62,19.0,10.0,0.0,16.334,2.608,0.0,0.0,
1682,9,2024-09-24,8,3610340652745,U.D SHP AVOCAT -KARITÉ 400ML,12.0,1,10.875,14.138,12.941,16.82,19.0,9.0,0.0,155.295,24.795,0.0,0.0,
1683,9,2024-09-24,9,3610340652769,U.D SHP CAMOMILLE / MIEL DE FLEUR 400ML,12.0,1,10.875,14.138,12.941,16.82,19.0,9.0,0.0,155.295,24.795,0.0,0.0,
1684,9,2024-09-24,10,3610340652356,U.D SHP CHARBON NOIR ET HUILE DE NIGELLE 400ML,12.0,1,10.875,14.138,12.941,16.82,19.0,9.0,0.0,155.295,24.795,0.0,0.0,
1685,9,2024-09-24,11,3610340078941,U.D SHP  RICIN ET D'AMANDE 400ML,12.0,1,10.875,14.138,12.941,16.82,19.0,9.0,0.0,155.295,24.795,0.0,0.0,
1686,9,2024-09-24,12,3610340027178,U.D SHP OLIVE MYTHIQUE 400ML,12.0,1,10.875,14.138,12.941,16.82,19.0,9.0,0.0,155.295,24.795,0.0,0.0,
1687,9,2024-09-24,13,3610340033360,U.D SHP TRÉSOR DE MIEL 400ML,12.0,1,10.875,14.138,12.941,16.82,19.0,9.0,0.0,155.295,24.795,0.0,0.0,
1688,9,2024-09-24,14,3600542418546,U.D SHP ENFANT ABRICOT & COTON 250ML,12.0,1,7.098,9.227,8.447,10.98,19.0,9.0,0.0,101.359,16.183,0.0,0.0,
1689,9,2024-09-24,15,3600542418638,U.D SHP ENFANT CERISE & AMANDE 250ML,12.0,1,7.098,9.227,8.447,10.98,19.0,9.0,0.0,101.359,16.183,0.0,0.0,
